,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,tipo
75,75,354.0,473.0,541.0,716.0,878.0,991.0,990.0,1259.0,8699.0,0.0
49,49,305.0,402.0,475.0,618.0,787.0,863.0,995.0,1118.0,6170.0,0.0
61,61,363.0,490.0,586.0,791.0,969.0,1270.0,1261.0,1804.0,8317.0,0.0
122,122,387.0,524.0,658.0,825.0,919.0,877.0,1112.0,1389.0,7230.0,0.0
79,79,385.0,528.0,621.0,832.0,1063.0,1040.0,1304.0,1514.0,9863.0,0.0
105,105,347.0,532.0,579.0,811.0,932.0,1215.0,1290.0,1696.0,7310.0,0.0
32,32,295.0,357.0,460.0,614.0,744.0,879.0,1042.0,1220.0,4928.0,0.0
56,56,305.0,424.0,511.0,629.0,805.0,846.0,970.0,1212.0,7089.0,0.0
70,70,374.0,504.0,593.0,758.0,960.0,1105.0,1117.0,1445.0,7633.0,0.0
103,103,366.0,518.0,622.0,781.0,943.0,1211.0,1204.0,1884.0,7681.0,0.0
102,102,352.0,480.0,610.0,716.0,912.0,1214.0,1239.0,1778.0,7411.0,0.0
104,104,355.0,501.0,586.0,774.0,865.0,1116.0,1194.0,1723.0,7585.0,0.0
2,2,333.0,470.0,610.0,849.0,992.0,958.0,1472.0,1487.0,7427.0,0.0
67,67,361.0,489.0,581.0,727.0,965.0,1085.0,1060.0,1353.0,7678.0,0.0
117,117,358.0,465.0,610.0,704.0,839.0,954.0,1021.0,1271.0,6548.0,0.0
58,58,336.0,419.0,513.0,628.0,813.0,898.0,1010.0,1204.0,8413.0,0.0
110,110,364.0,516.0,598.0,808.0,903.0,1241.0,1158.0,1643.0,7577.0,0.0
107,107,336.0,471.0,565.0,748.0,851.0,1018.0,1141.0,1525.0,7386.0,0.0
71,71,362.0,472.0,577.0,723.0,917.0,1071.0,1031.0,1298.0,7713.0,0.0
46,46,348.0,447.0,565.0,727.0,880.0,919.0,1038.0,1275.0,7365.0,0.0
83,83,292.0,363.0,429.0,571.0,670.0,728.0,762.0,900.0,5139.0,0.0
17,17,294.0,376.0,470.0,665.0,788.0,883.0,1026.0,1225.0,5219.0,0.0
87,87,298.0,368.0,441.0,585.0,703.0,741.0,804.0,910.0,5466.0,0.0
80,80,363.0,472.0,565.0,751.0,864.0,902.0,1017.0,1204.0,6875.0,0.0
59,59,329.0,440.0,530.0,660.0,900.0,953.0,1070.0,1241.0,8280.0,0.0
101,101,331.0,474.0,543.0,679.0,809.0,988.0,977.0,1229.0,7002.0,0.0
36,36,289.0,347.0,443.0,596.0,713.0,863.0,996.0,1181.0,4785.0,0.0
39,39,331.0,429.0,519.0,699.0,801.0,909.0,965.0,1230.0,6406.0,0.0
99,99,287.0,383.0,456.0,600.0,725.0,901.0,872.0,1134.0,6027.0,0.0
51,51,293.0,397.0,464.0,620.0,738.0,839.0,903.0,1111.0,5594.0,0.0
34,34,287.0,350.0,445.0,598.0,722.0,862.0,1020.0,1195.0,4764.0,0.0
62,62,375.0,507.0,610.0,761.0,854.0,981.0,978.0,1216.0,6585.0,0.0
98,98,287.0,381.0,450.0,588.0,717.0,802.0,866.0,1031.0,5280.0,0.0
43,43,337.0,436.0,532.0,719.0,840.0,911.0,1004.0,1233.0,6632.0,0.0
10,10,345.0,470.0,614.0,784.0,1052.0,1049.0,1344.0,1586.0,7287.0,0.0
91,91,294.0,373.0,435.0,579.0,670.0,715.0,768.0,876.0,4988.0,0.0
33,33,290.0,350.0,447.0,600.0,726.0,865.0,1021.0,1193.0,4775.0,0.0
84,84,294.0,365.0,429.0,569.0,684.0,731.0,763.0,898.0,5126.0,0.0
19,19,287.0,345.0,440.0,586.0,738.0,875.0,1053.0,1251.0,5067.0,0.0
124,124,378.0,509.0,652.0,794.0,1017.0,927.0,1174.0,1520.0,7605.0,0.0
27,27,289.0,347.0,442.0,597.0,721.0,851.0,1003.0,1170.0,4782.0,0.0
37,37,291.0,349.0,447.0,599.0,726.0,864.0,1020.0,1191.0,4783.0,0.0
116,116,331.0,463.0,533.0,692.0,837.0,979.0,1058.0,1271.0,7789.0,0.0
40,40,337.0,449.0,534.0,742.0,854.0,913.0,1027.0,1386.0,6541.0,0.0
72,72,357.0,491.0,550.0,744.0,892.0,1036.0,1025.0,1369.0,7531.0,0.0
96,96,341.0,439.0,536.0,698.0,782.0,842.0,881.0,1045.0,5073.0,0.0
89,89,322.0,406.0,474.0,638.0,765.0,818.0,829.0,1014.0,5711.0,0.0
41,41,339.0,440.0,549.0,719.0,851.0,891.0,1084.0,1245.0,6338.0,0.0
57,57,312.0,416.0,487.0,611.0,749.0,897.0,928.0,1274.0,6719.0,0.0
115,115,385.0,523.0,667.0,824.0,1006.0,1120.0,1238.0,1430.0,8869.0,0.0
95,95,281.0,342.0,408.0,542.0,649.0,705.0,740.0,874.0,4954.0,0.0
23,23,290.0,348.0,440.0,598.0,714.0,857.0,990.0,1173.0,4792.0,0.0
35,35,288.0,349.0,445.0,598.0,722.0,862.0,1021.0,1194.0,4771.0,0.0
112,112,367.0,556.0,620.0,856.0,977.0,1157.0,1264.0,1599.0,8782.0,0.0
109,109,342.0,487.0,576.0,764.0,894.0,1101.0,1158.0,1608.0,7357.0,0.0
4,4,329.0,454.0,585.0,783.0,948.0,951.0,1311.0,1490.0,6953.0,0.0
86,86,292.0,361.0,431.0,568.0,689.0,743.0,801.0,937.0,5147.0,0.0
15,15,281.0,373.0,461.0,623.0,780.0,842.0,996.0,1168.0,5084.0,0.0
106,106,333.0,456.0,555.0,714.0,857.0,897.0,1077.0,1341.0,7296.0,0.0
42,42,340.0,448.0,561.0,754.0,854.0,897.0,1126.0,1295.0,6529.0,0.0
54,54,293.0,395.0,450.0,586.0,689.0,870.0,883.0,1106.0,5437.0,0.0
47,47,337.0,443.0,524.0,663.0,784.0,949.0,946.0,1292.0,6253.0,0.0
123,123,325.0,433.0,558.0,692.0,859.0,834.0,1044.0,1130.0,7112.0,0.0
55,55,299.0,413.0,499.0,632.0,721.0,854.0,894.0,1154.0,5934.0,0.0
280,280,407.0,570.0,725.0,1026.0,1151.0,1439.0,1641.0,2132.0,8472.0,1.0
296,296,419.0,511.0,665.0,911.0,1035.0,1233.0,1491.0,1750.0,7949.0,1.0
312,312,434.0,533.0,708.0,887.0,1043.0,1190.0,1487.0,1807.0,7806.0,1.0
283,283,399.0,548.0,673.0,989.0,1066.0,1347.0,1591.0,1901.0,7794.0,1.0
301,301,418.0,510.0,688.0,883.0,1082.0,1228.0,1545.0,1795.0,7832.0,1.0
255,255,460.0,612.0,845.0,1009.0,1274.0,1392.0,1735.0,2137.0,8235.0,1.0
276,276,439.0,567.0,747.0,946.0,1116.0,1284.0,1555.0,1975.0,8107.0,1.0
323,323,435.0,537.0,711.0,881.0,1022.0,1196.0,1472.0,1822.0,7954.0,1.0
298,298,397.0,500.0,650.0,912.0,1051.0,1237.0,1560.0,1733.0,7431.0,1.0
310,310,440.0,538.0,705.0,909.0,1068.0,1239.0,1508.0,1832.0,7773.0,1.0
295,295,421.0,522.0,676.0,920.0,1046.0,1245.0,1508.0,1765.0,8003.0,1.0
314,314,436.0,534.0,706.0,896.0,1056.0,1220.0,1505.0,1820.0,7836.0,1.0
291,291,418.0,521.0,672.0,934.0,1054.0,1251.0,1515.0,1757.0,8017.0,1.0
282,282,400.0,582.0,703.0,1017.0,1161.0,1444.0,1664.0,2089.0,8474.0,1.0
317,317,438.0,529.0,700.0,878.0,1038.0,1194.0,1486.0,1797.0,7809.0,1.0
309,309,442.0,537.0,697.0,919.0,1076.0,1257.0,1520.0,1822.0,7761.0,1.0
256,256,460.0,613.0,847.0,1015.0,1285.0,1404.0,1749.0,2150.0,8230.0,1.0
297,297,418.0,509.0,667.0,899.0,1030.0,1231.0,1476.0,1717.0,7901.0,1.0
293,293,431.0,543.0,699.0,960.0,1081.0,1276.0,1540.0,1820.0,8318.0,1.0
264,264,425.0,548.0,718.0,900.0,1077.0,1221.0,1507.0,1888.0,8109.0,1.0
316,316,436.0,529.0,701.0,878.0,1041.0,1204.0,1486.0,1772.0,7982.0,1.0
274,274,452.0,609.0,818.0,949.0,1218.0,1289.0,1679.0,2141.0,8541.0,1.0
290,290,410.0,518.0,666.0,927.0,1044.0,1232.0,1514.0,1736.0,7993.0,1.0
320,320,435.0,526.0,699.0,876.0,1039.0,1194.0,1489.0,1793.0,7778.0,1.0
271,271,445.0,584.0,773.0,922.0,1143.0,1237.0,1580.0,2017.0,8316.0,1.0
315,315,432.0,531.0,702.0,881.0,1039.0,1191.0,1480.0,1796.0,7847.0,1.0
313,313,430.0,531.0,705.0,885.0,1052.0,1201.0,1491.0,1804.0,7778.0,1.0
305,305,424.0,510.0,675.0,910.0,1037.0,1196.0,1520.0,1695.0,8040.0,1.0
289,289,408.0,520.0,665.0,941.0,1043.0,1276.0,1539.0,1818.0,7998.0,1.0
311,311,430.0,535.0,710.0,890.0,1058.0,1211.0,1501.0,1816.0,7789.0,1.0
287,287,414.0,529.0,676.0,959.0,1060.0,1313.0,1573.0,1879.0,8307.0,1.0
319,319,436.0,528.0,698.0,881.0,1041.0,1195.0,1491.0,1788.0,7815.0,1.0
267,267,436.0,556.0,741.0,935.0,1112.0,1244.0,1559.0,1925.0,8278.0,1.0
277,277,435.0,553.0,743.0,939.0,1129.0,1256.0,1587.0,1901.0,8344.0,1.0
288,288,411.0,528.0,676.0,951.0,1050.0,1306.0,1571.0,1828.0,8132.0,1.0
286,286,416.0,546.0,690.0,966.0,1068.0,1334.0,1538.0,1838.0,8612.0,1.0
303,303,425.0,532.0,704.0,910.0,1052.0,1229.0,1522.0,1842.0,7703.0,1.0
278,278,428.0,534.0,710.0,912.0,1061.0,1241.0,1493.0,1813.0,7760.0,1.0
257,257,476.0,627.0,868.0,1034.0,1296.0,1436.0,1783.0,2196.0,8324.0,1.0
268,268,433.0,576.0,756.0,919.0,1119.0,1221.0,1564.0,1947.0,7919.0,1.0
285,285,423.0,566.0,689.0,996.0,1094.0,1320.0,1557.0,1880.0,8374.0,1.0
284,284,416.0,518.0,675.0,897.0,1054.0,1217.0,1478.0,1772.0,8273.0,1.0
299,299,400.0,510.0,665.0,919.0,1046.0,1279.0,1498.0,1790.0,7272.0,1.0
318,318,433.0,529.0,702.0,880.0,1039.0,1195.0,1488.0,1791.0,7757.0,1.0
304,304,433.0,521.0,704.0,877.0,1041.0,1194.0,1509.0,1808.0,8151.0,1.0
273,273,496.0,659.0,918.0,1056.0,1324.0,1449.0,1834.0,2328.0,8857.0,1.0
324,324,436.0,545.0,722.0,877.0,1043.0,1201.0,1483.0,1894.0,8126.0,1.0
275,275,446.0,584.0,819.0,925.0,1157.0,1258.0,1626.0,2016.0,8890.0,1.0
281,281,409.0,570.0,726.0,1026.0,1140.0,1465.0,1638.0,2076.0,8463.0,1.0
259,259,475.0,625.0,867.0,1025.0,1294.0,1414.0,1768.0,2173.0,8310.0,1.0
